id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
59,Fuel Supply,2014,3/4/2014,3/17/2014,Wisconsin Public Service Corp,"Weston, Wisconsin",MRO,"fuel supply emergency, coal",09:06:00,09:06:00,,
60,Physical Attack,2014,3/3/2014,3/3/2014,"Orange and Rockland Utilities, Inc.",New York,NPCC,"vandalism, physical",17:25:00,17:25:00,,
61,Severe Weather,2014,3/3/2014,3/3/2014,Tennessee Valley Authority,Tennessee,SERC,"severe weather, winter storm",06:40:00,15:28:00,65904.0,
62,Fuel Supply,2014,3/3/2014,3/3/2014,Public Utility District #1 of Chelan County (CHPD),"Mid-Columbia River Generation, Washington",WECC,"fuel supply emergency, hydro",01:48:00,01:49:00,,630.0
63,Severe Weather,2014,3/2/2014,3/4/2014,ERCOT,ERCOT Region Texas,TRE,"severe weather, cold",19:00:00,09:00:00,,
64,Severe Weather,2014,2/21/2014,2/21/2014,Southern Company,Northern/Northeastern Georgia,SERC,"severe weather, thunderstorm, wind",02:53:00,21:00:00,66445.0,221.0
65,Severe Weather,2014,2/20/2014,2/21/2014,Ameren Missouri,"Missouri, Illinois",SERC,"severe weather, winter storm",16:40:00,23:59:00,66000.0,
66,Physical Attack,2014,2/18/2014,2/18/2014,PacifiCorp,"Bend, Oregon",WECC,"vandalism, physical",18:43:00,18:44:00,,
67,Physical Attack,2014,2/14/2014,2/14/2014,PacifiCorp,"Portland, Oregon",WECC,"vandalism, physical",13:00:00,15:00:00,,
68,Severe Weather,2014,2/12/2014,2/15/2014,Duke Energy Progress,North Carolina,SERC,"severe weather, winter storm",12:10:00,15:20:00,200000.0,
69,Physical Attack,2014,2/12/2014,2/12/2014,ISO New England,Vermont,NPCC,"vandalism, physical",14:15:00,14:16:00,,
70,Severe Weather,2014,2/12/2014,2/15/2014,South Carolina Electric and Gas,South Carolina,SERC,"severe weather, winter storm",11:03:00,08:40:00,120124.0,700.0
71,Severe Weather,2014,2/12/2014,2/15/2014,Southern Company,Northern/Northeastern Georgia,SERC,"severe weather, winter storm",07:48:00,04:30:00,373835.0,1246.0
72,Public Appeal,2014,2/7/2014,2/7/2014,American Electric Power,Texas,TRE,public appeal,16:50:00,20:30:00,,
73,Public Appeal,2014,2/7/2014,2/8/2014,ERCOT,ERCOT Region Texas,TRE,public appeal,16:30:00,09:00:00,,
74,Fuel Supply,2014,2/7/2014,3/21/2014,"Somerset Operating Company, LLC",Niagara County New York,NPCC,"fuel supply emergency, coal",07:00:00,08:00:00,,675.0
75,Fuel Supply,2014,2/6/2014,2/6/2014,California ISO,California,WECC,"fuel supply emergency, natural gas",13:00:00,22:00:00,,4000.0
76,Public Appeal,2014,2/6/2014,2/6/2014,American Electric Power,Rio Grande Valley Texas,TRE,public appeal,13:58:00,20:40:00,,
77,Fuel Supply,2014,2/6/2014,2/6/2014,Southern California Edison,California,WECC,"fuel supply emergency, natural gas",14:15:00,19:39:00,,611.0
78,Fuel Supply,2014,2/6/2014,2/6/2014,Pacific Gas & Electric Co,Northern California,WECC,"fuel supply emergency, natural gas",13:05:00,19:15:00,,160.0
79,Public Appeal,2014,2/6/2014,2/7/2014,ERCOT,ERCOT Region Texas,TRE,public appeal,15:35:00,11:30:00,,
80,Severe Weather,2014,2/5/2014,2/9/2014,FirstEnergy Corp: Met-Ed,Pennsylvania,RFC,"severe weather, winter storm",01:00:00,20:40:00,144000.0,
81,Severe Weather,2014,2/5/2014,2/9/2014,FirstEnergy Corp: Potomac Edison,"Maryland, West Virginia",RFC,"severe weather, winter storm",00:00:00,18:00:00,101580.0,
82,Severe Weather,2014,2/5/2014,2/5/2014,Baltimore Gas & Electric Company,"Baltimore, Maryland",RFC,"severe weather, winter storm",08:05:00,08:06:00,181000.0,800.0
83,Fuel Supply,2014,2/5/2014,2/23/2014,Upstate New York Power Producers,New York,NPCC,"fuel supply emergency, coal",07:00:00,07:00:00,,300.0
84,Severe Weather,2014,2/5/2014,2/5/2014,Exelon Corporation/PECO,Pennsylvania,RFC,"severe weather, winter storm",05:00:00,05:01:00,715000.0,
85,Severe Weather,2014,2/5/2014,2/7/2014,PPL Electric Utilities Corp,"Lancaster Region, Pennsylvania",RFC,"severe weather, winter storm",07:35:00,04:03:00,62159.0,
86,Physical Attack,2014,1/30/2014,Unknown,Tucson Electric Power,Arizona,WECC,"vandalism, physical",15:00:00,,,
87,Physical Attack,2014,1/29/2014,1/29/2014,Madison Gas and Electric,Unknown,MRO,"vandalism, physical",16:00:00,16:44:00,,
88,Severe Weather,2014,1/27/2014,1/28/2014,PJM Interconnection,Maryland,RFC,"severe weather, cold",14:20:00,21:00:00,,
89,Physical Attack,2014,1/26/2014,Unknown,Public Service Electric &Gas,New Jersey,RFC,"vandalism, physical",23:00:00,,,
90,Physical Attack,2014,1/26/2014,1/27/2014,PacifiCorp,Oregon,WECC,"vandalism, physical",21:00:00,11:00:00,,
91,Physical Attack,2014,1/25/2014,1/25/2014,Madison Gas and Electric,"Madison, Wisconsin",MRO,"vandalism, physical",10:00:00,11:00:00,,
92,Physical Attack,2014,1/24/2014,1/24/2014,Madison Gas and Electric,Wisconsin,MRO,"vandalism, physical",15:30:00,17:00:00,,
93,Fuel Supply,2014,1/24/2014,4/9/2014,We Energies,Wisconsin,RFC,"fuel supply emergency, coal",00:00:00,11:53:00,,
94,Physical Attack,2014,1/23/2014,1/24/2014,Tacoma Power (TPWR),"Wynoochee, Washington",WECC,"vandalism, physical",21:17:00,17:00:00,,
95,Severe Weather,2014,1/23/2014,1/24/2014,Tennessee Valley Authority,Tennessee,SERC,"severe weather, cold",16:00:00,12:00:00,,
96,Severe Weather,2014,1/23/2014,1/24/2014,Memphis Light Gas and Water Division,Tennessee,SERC,"severe weather, cold",04:00:00,12:00:00,,
97,Severe Weather,2014,1/23/2014,1/24/2014,PJM Interconnection,Maryland,RFC,"severe weather, cold",13:04:00,09:00:00,,
98,Physical Attack,2014,1/22/2014,1/22/2014,Duke Energy Midwest,Ohio,RFC,"vandalism, physical",09:45:00,20:19:00,,
99,Physical Attack,2014,1/22/2014,1/22/2014,Madison Gas and Electric,Wisconsin,MRO,"vandalism, physical",13:55:00,14:55:00,,
100,Physical Attack,2014,1/22/2014,1/23/2014,Public Service Electric &Gas,"Burlington County, New Jersey",RFC,"vandalism, physical",21:15:00,03:08:00,,
101,Physical Attack,2014,1/22/2014,1/22/2014,Madison Gas and Electric,Wisconsin,MRO,"vandalism, physical",00:30:00,02:45:00,,
102,Physical Attack,2014,1/21/2014,Unknown,Public Service Electric &Gas,New Jersey,RFC,"vandalism, physical",17:00:00,,,
103,Physical Attack,2014,1/21/2014,1/21/2014,Ameren Missouri,Missouri,SERC,"vandalism, physical",12:14:00,12:39:00,,10.0
104,Electrical System Separation,2014,1/18/2014,Unknown,First Energy Solutions Corp.,Unknown,RFC,islanding,17:39:00,,,
105,Public Appeal,2014,1/18/2014,1/18/2014,ERCOT,Texas,TRE,public appeal,09:00:00,09:45:00,,
106,Physical Attack,2014,1/17/2014,1/17/2014,Dayton Power & Light Co,Ohio,RFC,"vandalism, physical",12:20:00,12:20:00,,
107,Physical Attack,2014,1/16/2014,1/16/2014,Arizona Public Service Co,Arizona,WECC,"vandalism, physical",12:30:00,13:57:00,,
108,Physical Attack,2014,1/15/2014,1/15/2014,PacifiCorp,Utah,WECC,"vandalism, physical",14:32:00,14:45:00,,
109,Physical Attack,2014,1/13/2014,1/13/2014,Arizona Public Service Co,Arizona,WECC,"vandalism, physical",16:44:00,16:45:00,,
110,Severe Weather,2014,1/8/2014,1/8/2014,South Carolina Electric and Gas,South Carolina,SERC,"severe weather, cold",06:00:00,09:00:00,677858.0,4545.0
111,Severe Weather,2014,1/8/2014,1/8/2014,American Electric Power,Unknown,RFC,"severe weather, cold",05:00:00,06:30:00,,576.0
112,Severe Weather,2014,1/7/2014,1/7/2014,South Carolina Electric and Gas,South Carolina,SERC,"severe weather, cold",18:00:00,23:00:00,677858.0,4853.0
